fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Singapore Dollar,SGD,74.03,74.03,73.09,73.69,null,76.72,76.72,77.63,77.02,77.14
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Singapore Dollar,SGD,74.03,74.03,73.09,73.69,null,76.72,76.72,77.63,77.02,77.14
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Singapore Dollar,SGD,74.0,74.0,73.06,73.67,null,76.7,76.7,77.6,77.0,77.11
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Singapore Dollar,SGD,74.0,74.0,73.06,73.67,null,76.7,76.7,77.6,77.0,77.11
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Singapore Dollar,SGD,73.75,73.75,72.81,73.41,null,76.46,76.46,77.36,76.76,76.87
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Singapore Dollar,SGD,73.74,73.74,72.8,73.4,null,76.58,76.58,77.49,76.89,77.0
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Singapore Dollar,SGD,73.74,73.74,72.8,73.4,null,76.58,76.58,77.49,76.89,77.0
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Singapore Dollar,SGD,73.65,73.65,72.72,73.32,null,76.35,76.35,77.25,76.65,76.76
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Singapore Dollar,SGD,73.37,73.37,72.44,73.03,null,76.04,76.04,76.94,76.34,76.45
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Singapore Dollar,SGD,73.24,73.24,72.31,72.9,null,75.9,75.9,76.79,76.2,76.31
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Singapore Dollar,SGD,73.13,73.13,72.2,72.8,null,75.8,75.8,76.69,76.1,76.21
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Singapore Dollar,SGD,73.21,73.21,72.28,72.88,null,75.92,75.92,76.81,76.22,76.33
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Singapore Dollar,SGD,73.21,73.21,72.28,72.88,null,75.92,75.92,76.81,76.22,76.33
2026-09-07,15:05:19,07-09-2026,02:17:57 PM,Singapore Dollar,SGD,73.33,73.33,72.4,73.0,null,76.0,76.0,76.9,76.3,76.41
2026-09-08,14:29:30,08-09-2026,09:14:06 AM,Singapore Dollar,SGD,73.46,73.46,72.53,73.13,null,76.14,76.14,77.03,76.44,76.55
2026-09-09,14:35:16,09-09-2026,09:15:18 AM,Singapore Dollar,SGD,73.69,73.69,72.76,73.36,null,76.37,76.37,77.27,76.67,76.78
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Singapore Dollar,SGD,74.05,74.05,73.11,73.71,null,76.76,76.76,77.66,77.06,77.17
2026-09-11,14:31:57,11-09-2026,09:18:39 AM,Singapore Dollar,SGD,74.12,74.12,73.18,73.78,null,76.86,76.86,77.77,77.16,77.28
