fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,22:53:17,24-08-2026,09:17:03 AM,Korean Won,KRW,0.0662,0.0662,,,,0.0724,0.0724,,,
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Korean Won,KRW,0.0662,0.0662,,,,0.0724,0.0724,,,
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Korean Won,KRW,0.0661,0.0661,,,,0.0724,0.0724,,,
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Korean Won,KRW,0.0661,0.0661,,,,0.0724,0.0724,,,
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Korean Won,KRW,0.066,0.066,,,,0.0723,0.0723,,,
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Korean Won,KRW,0.0661,0.0661,,,,0.0725,0.0725,,,
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Korean Won,KRW,0.0661,0.0661,,,,0.0725,0.0725,,,
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Korean Won,KRW,0.0663,0.0663,,,,0.0726,0.0726,,,
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Korean Won,KRW,0.0661,0.0661,,,,0.0724,0.0724,,,
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Korean Won,KRW,0.0662,0.0662,,,,0.0724,0.0724,,,
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Korean Won,KRW,0.0665,0.0665,,,,0.0728,0.0728,,,
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Korean Won,KRW,0.0665,0.0665,,,,0.0728,0.0728,,,
