fetch_date,fetch_time,page_date,page_time,currency_name,currency_code,tt_buying,bills_buying,currency_notes_buying,forex_card_buying,demand_draft_buying,tt_selling,bills_selling,currency_notes_selling,forex_card_selling,demand_draft_selling
2026-08-24,23:05:57,24-08-2026,09:17:03 AM,Euro,EUR,109.15,109.15,108.65,109.15,null,114.1,114.1,114.83,114.1,114.1
2026-08-25,10:35:56,25-08-2026,09:16:29 AM,Euro,EUR,109.03,109.03,108.53,109.03,null,113.97,113.97,114.7,113.97,113.97
2026-08-26,10:35:51,25-08-2026,09:16:29 AM,Euro,EUR,109.03,109.03,108.53,109.03,null,113.97,113.97,114.7,113.97,113.97
2026-08-27,19:08:53,27-08-2026,09:17:48 AM,Euro,EUR,108.64,108.64,108.14,108.64,null,113.59,113.59,114.31,113.59,113.59
2026-08-28,22:20:27,28-08-2026,09:15:50 AM,Euro,EUR,108.53,108.53,108.03,108.53,null,113.64,113.64,114.36,113.64,113.64
2026-08-29,16:47:55,28-08-2026,09:15:50 AM,Euro,EUR,108.53,108.53,108.03,108.53,null,113.64,113.64,114.36,113.64,113.64
2026-08-31,16:33:28,31-08-2026,09:17:14 AM,Euro,EUR,108.05,108.05,107.55,108.05,null,112.98,112.98,113.7,112.98,112.98
2026-09-01,15:02:41,01-09-2026,09:13:42 AM,Euro,EUR,107.69,107.69,107.19,107.69,null,112.57,112.57,113.29,112.57,112.57
2026-09-02,14:26:59,02-09-2026,09:12:35 AM,Euro,EUR,107.38,107.38,106.89,107.38,null,112.24,112.24,112.96,112.24,112.24
2026-09-03,14:35:27,03-09-2026,01:09:29 PM,Euro,EUR,107.08,107.08,106.59,107.08,null,111.94,111.94,112.66,111.94,111.94
2026-09-04,14:28:49,04-09-2026,09:13:44 AM,Euro,EUR,107.29,107.29,106.8,107.29,null,112.16,112.16,112.87,112.16,112.16
2026-09-05,14:00:06,04-09-2026,09:13:44 AM,Euro,EUR,107.29,107.29,106.8,107.29,null,112.16,112.16,112.87,112.16,112.16
2026-09-07,15:05:19,07-09-2026,02:17:57 PM,Euro,EUR,107.33,107.33,106.84,107.33,null,112.19,112.19,112.91,112.19,112.19
2026-09-08,14:29:30,08-09-2026,09:14:06 AM,Euro,EUR,107.4,107.4,106.91,107.4,null,112.27,112.27,112.99,112.27,112.27
2026-09-09,14:35:16,09-09-2026,09:15:18 AM,Euro,EUR,107.78,107.78,107.28,107.78,null,112.66,112.66,113.38,112.66,112.66
2026-09-10,14:34:22,10-09-2026,09:15:21 AM,Euro,EUR,108.32,108.32,107.82,108.32,null,113.24,113.24,113.97,113.24,113.24
2026-09-11,14:31:57,11-09-2026,09:18:39 AM,Euro,EUR,108.5,108.5,108.0,108.5,null,113.43,113.43,114.15,113.43,113.43
